symbol,date,open,high,low,close,volume
AUBANK,2023-03-22,584.2,586.95,577.65,579.45,854002
AUBANK,2023-03-23,579.0,582.0,567.5,569.65,917334
AUBANK,2023-03-24,570.0,570.2,548.0,559.9,2178563
AUBANK,2023-03-27,562.0,572.75,560.05,566.9,1373334
AUBANK,2023-03-28,566.9,569.7,551.0,563.55,1763884
AUBANK,2023-03-29,563.55,589.95,562.7,585.55,2505188
AUBANK,2023-03-31,584.0,591.55,578.0,579.2,1618002
AUBANK,2023-04-03,580.4,580.9,560.05,562.8,1980458
AUBANK,2023-04-05,564.9,571.2,555.75,558.4,1578872
AUBANK,2023-04-06,558.45,571.5,553.65,569.45,2686132
AUBANK,2023-04-10,570.0,572.55,560.2,564.5,1052472
AUBANK,2023-04-11,567.95,588.0,559.75,576.2,1999310
AUBANK,2023-04-12,579.8,587.5,574.2,580.15,1782378
AUBANK,2023-04-13,630.0,689.9,625.0,679.2,30807207
AUBANK,2023-04-17,670.05,692.95,665.1,688.65,5636506
AUBANK,2023-04-18,688.0,696.55,681.0,693.05,3177457
AUBANK,2023-04-19,694.0,699.0,674.45,678.6,3693818
AUBANK,2023-04-20,682.0,685.0,674.1,679.4,1555616
AUBANK,2023-04-21,680.45,680.85,656.85,665.95,3742874
AUBANK,2023-04-24,662.0,669.75,658.65,663.9,2852500
AUBANK,2023-04-25,667.0,667.75,658.55,660.15,2107327
AUBANK,2023-04-26,649.95,655.0,630.85,643.4,5008439
AUBANK,2023-04-27,643.8,649.75,639.05,644.45,2272998
AUBANK,2023-04-28,643.0,665.8,643.0,663.85,2017338
AUBANK,2023-05-02,669.95,685.0,664.05,684.0,2007742
AUBANK,2023-05-03,678.95,691.65,677.35,684.8,1264610
AUBANK,2023-05-04,683.95,691.95,682.0,685.2,865527
AUBANK,2023-05-05,686.0,692.6,672.15,674.1,873669
AUBANK,2023-05-08,677.15,694.4,673.3,691.1,2243321
AUBANK,2023-05-09,693.95,704.95,691.1,700.1,2197112
AUBANK,2023-05-10,708.9,721.35,687.6,692.75,3265526
AUBANK,2023-05-11,699.0,709.95,686.9,706.65,2935100
AUBANK,2023-05-12,703.6,715.7,697.0,712.95,1641770
AUBANK,2023-05-15,712.8,721.55,709.35,716.95,1375218
AUBANK,2023-05-16,716.95,736.85,714.85,728.9,2622132
AUBANK,2023-05-17,728.85,732.0,718.8,730.85,1459862
AUBANK,2023-05-18,731.0,754.9,728.45,747.6,3422021
AUBANK,2023-05-19,747.6,756.0,734.0,753.8,2181998
AUBANK,2023-05-22,753.8,761.45,752.3,758.5,1596957
AUBANK,2023-05-23,758.0,774.55,756.3,762.7,1669877
AUBANK,2023-05-24,762.7,767.7,749.45,765.9,1402441
AUBANK,2023-05-25,763.9,773.2,762.1,769.9,1192141
AUBANK,2023-05-26,767.7,780.0,766.05,778.2,1075483
AUBANK,2023-05-29,780.3,795.0,776.55,790.4,2625329
AUBANK,2023-05-30,789.45,789.45,771.0,776.15,1145487
AUBANK,2023-05-31,773.0,785.0,758.0,776.9,3839806
AUBANK,2023-06-01,778.0,782.15,765.3,769.75,1386561
AUBANK,2023-06-02,774.0,779.95,768.95,773.45,1927608
AUBANK,2023-06-05,765.25,772.55,749.0,750.95,2901296
AUBANK,2023-06-06,750.0,754.45,740.05,751.9,2936010
AUBANK,2023-06-07,757.0,767.25,755.0,762.55,1600037
AUBANK,2023-06-08,765.9,775.15,752.45,755.4,1525613
AUBANK,2023-06-09,757.45,764.55,750.15,762.25,1450577
AUBANK,2023-06-12,767.0,769.95,750.4,761.45,1134935
AUBANK,2023-06-13,761.0,765.65,758.15,763.8,1270095
AUBANK,2023-06-14,767.0,775.0,764.1,772.2,1691498
AUBANK,2023-06-15,772.6,779.55,765.05,775.7,1584856
AUBANK,2023-06-16,777.0,782.7,773.2,778.75,666115
AUBANK,2023-06-19,778.75,784.0,767.9,772.1,740479
AUBANK,2023-06-20,772.1,772.15,763.8,767.55,493662
AUBANK,2023-06-21,770.95,773.85,748.1,749.55,1089259
AUBANK,2023-06-22,751.0,756.65,732.5,740.8,2295370
AUBANK,2023-06-23,742.6,745.7,734.1,736.7,617906
AUBANK,2023-06-26,736.7,749.35,732.05,745.4,1115771
AUBANK,2023-06-27,748.95,755.35,744.35,749.8,907052
AUBANK,2023-06-28,753.75,756.9,742.55,747.8,2946020
AUBANK,2023-06-30,754.0,759.8,747.45,753.65,1725775
AUBANK,2023-07-03,760.0,763.2,755.8,760.25,988169
